No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
424,APPS,"Digital Turbine, Inc.",Technology,Software - Application,USA,5.97B,105.6,63.89,0.85%,16916704
425,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1.33B,24.24,37.96,0.72%,153453
426,APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA,97.08M,-,4.69,-1.88%,489543
427,APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Internet Retail,USA,100.64M,-,4.37,5.81%,409955
428,APSG,Apollo Strategic Growth Capital,Financial,Shell Companies,USA,994.50M,886.36,9.75,0.10%,124466
429,APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,104.24M,5.2,7.82,-3.10%,405286
430,APTO,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada,265.10M,-,2.96,-4.21%,903567
431,APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,655.22M,-,12.74,0.71%,303695
432,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,39.99B,41.37,149.93,-0.75%,1259221
433,APTX,Aptinyx Inc.,Healthcare,Biotechnology,USA,173.90M,-,2.63,-1.50%,152686
434,APVO,Aptevo Therapeutics Inc.,Healthcare,Biotechnology,USA,90.75M,-,18.15,-4.92%,52366
435,APWC,Asia Pacific Wire & Cable Corporation Limited,Industrials,Electrical Equipment & Parts,Taiwan,45.11M,-,3.17,-4.23%,12324
436,APYX,Apyx Medical Corporation,Healthcare,Medical Devices,USA,379.01M,-,11.28,-0.70%,55055
437,AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,USA,313.41M,-,4.58,-2.55%,652963
438,AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,USA,162.56M,-,2.34,-1.68%,439953
439,AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable,Canada,12.26B,8.32,15.64,-0.26%,1005656
440,AQST,"Aquestive Therapeutics, Inc.",Healthcare,Biotechnology,USA,172.68M,-,4.53,-1.95%,539508
441,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,4.46B,84.32,38.62,-1.45%,468757
442,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,4.75B,-,16.28,5.58%,8144176
443,ARAV,"Aravive, Inc.",Healthcare,Biotechnology,USA,85.12M,-,4.15,-2.81%,72977
444,ARAY,Accuray Incorporated,Healthcare,Medical Devices,USA,344.64M,-,3.95,-2.71%,386377
445,ARBGU,Aequi Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.86,0.00%,0
446,ARC,"ARC Document Solutions, Inc.",Industrials,Specialty Business Services,USA,120.24M,16.47,2.85,2.52%,98367
447,ARCB,ArcBest Corporation,Industrials,Trucking,USA,1.72B,13.56,69.61,-0.40%,152740
448,ARCC,Ares Capital Corporation,Financial,Asset Management,USA,8.98B,5.88,20.36,0.69%,2342348
